field_position,field_name,predictive_feature
0,res_track_name,0
1,res_race_date,0
2,res_race_number,0
3,res_distance_yards,0
4,res_surface_type,0
5,res_race_type,0
6,res_race_grade,0
7,res_purse,0
8,res_age_sex_restriction,0
9,res_statebred_flag,0
10,res_final_time,1
11,res_track_condition,0
12,res_race_class,0
13,res_post_position,0
14,res_entry_coupling_flag,0
15,res_horse_name,0
16,res_horse_birth_year,0
17,res_horse_weight,0
18,res_claiming_price,0
19,res_finish_position,1
20,res_beaten_lengths,1
21,res_odds,1
22,res_medication,0
23,res_equipment,0
24,res_money_position,0
25,res_trainer_name,0
26,res_jockey_name,0
